,P1_FW,P1_IF,P1_CO,P2_IF,T_FW,T_IF,Pro_PW,Com_PW
(A)   Raw metagenome sequence data,,,,,,,,
Total reads,"47,738,165","16,859,746","35,619,790","19,106,829","30,396,085","27,483,244","15,676,275","28,166,261"
Total bases,"11,934,541,250","4,214,936,500","8,904,947,500","4,776,707,250","7,599,021,250","6,870,811,000","3,919,068,750","7,041,565,250"
(B)    MG-RAST data (unassembled reads),,,,,,,,
MG-RAST ID,4815699.3,4815701.3,4815704.3,4815698.3,4815706.3,4815709.3,4815695.3,4815697.3
Total reads post-QC,"15,101,541","5,056,094","19,505,140","8,540,470","9,063,113","12,961,061","10,300,659","16,894,212"
Total bases post-QC,"2,463,923,471","818,855,576","3,404,573,213","1,492,513,735","1,446,667,786","2,312,528,281","1,785,810,224","3,184,471,761"
(C)    ATLAS pipeline data (quality control and assembly) ,,,,,,,,
I.                    Post-QC,,,,,,,,
Total reads,"41,757,806","14,959,074","34,529,519","17,282,511","27,680,622","25,831,938","15,322,579","27,120,810"
Total bases,"8,607,244,154","3,015,515,540","8,134,380,786","3,956,340,214","5,555,599,727","6,045,380,088","3,604,545,324","6,523,540,189"
Paired-end reads,"41,399,994","14,788,816","34,368,225","17,172,862","27,465,215","25,672,870","15,279,363","26,993,532"
Paired-end bases,"8,571,921,788","2,997,979,061","8,115,894,158","3,944,308,628","5,536,329,039","6,027,421,927","3,600,160,412","6,509,145,673"
Single-end reads,"357,812","170,258","161,294","109,649","215,407","159,068","43,216","127,278"
Single-end bases,"35,322,366","17,536,479","18,486,628","12,031,586","19,270,688","17,958,161","4,384,912","14,394,516"
II.                  Pre-assembly – read & insert statistics,,,,,,,,
Total forward and reverse reads,"82,799,988","29,577,632","68,736,450","34,345,724","54,930,430","51,345,740","30,558,726","53,987,064"
Total bases,"8,571,921,788","2,997,979,061","8,115,894,158","3,944,308,628","5,536,329,039","6,027,421,927","3,600,160,412","6,509,145,673"
Max/min read length,125/51,125/51,125/51,125/51,125/51,125/51,125/51,125/51
Average read length,103.5 ± 23.3,101.4 ± 24.0,118.1 ± 14.0,114.8 ± 18.2,100.8 ± 23.8,117.4 ± 16.1,117.8 ± 15.6,120.6 ± 12.8
Average insert length,121.2 ± 49.2,116.6 ± 47.3,164.2 ± 57.7,158.1 ± 62.3,113.9 ± 44.2,169.8 ± 63.8,160.1 ± 51.1,191.3 ± 58.4
Percentage of pairs within sequencing length range,97.17,96.96,91.84,90.46,97.68,86.52,96.81,93.64
III.                Post-assembly – contig statistics,,,,,,,,
L50,"15,260","16,119","5,264","11,064","9,868","18,259","6,169","44,581"
L90,"1,252",942,893,"1,028",934,"1,022",821,884
N50,"1,659",670,"3,495","1,067","1,221","1,506","1,946",217
N90,"15,093","10,441","31,885","15,870","19,949","24,013","22,867","7,999"
Number of input reads utilised for assembly,"78,620,493","25,934,923","63,691,922","32,029,901","48,638,181","46,669,501","28,766,588","51,946,821"
Percentage of input reads utilised for assembly,94.54,87.18,92.44,92.96,88.20,90.61,94.00,96.00
Total assembly size (bp),"128,038,586","59,769,696","126,626,997","90,365,414","97,954,197","165,081,069","88,454,142","49,281,382"
Longest contig (bp),"684,016","254,944",689127,"433,182","1,434,566","972,436","602,022","400,784"
Number of contigs,"30,757","18,887",49707,27642,"33,048","46,022","36,391","14,831"
GC content (%) ,58.06 ± 10.01,55.29 ± 12.66,53.31 ± 10.85,53.20 ± 10.64,54.77 ± 9.81,53.53 ± 9.10,54.75 ± 13.10,54.08 ± 11.30
Number of predicted genes,"138,935","68,702","155,379","105,467","114,632","185,244","107,941","58,107"
