Domain,Phylum,Class,Order,P1_FW,P1_IF,P1_CO,P2_IF,T_FW,T_IF,Pro_PW,Com_PW
Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,NR,0.03061,NR,0.01894,NR,NR,NR,NR
Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,NR,0.12069,NR,0.04835,NR,0.10271,NR,NR
Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,NR,0.00514,NR,0.00384,NR,NR,NR,NR
Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,NR,0.01047,NR,0.00571,NR,NR,NR,NR
Archaea,Methanobacteriota,Methanopyri,Methanopyrales,NR,0.00123,NR,0.00085,NR,NR,NR,NR
Archaea,Methanobacteriota_A,Methanococci,Methanococcales,NR,0.02557,NR,0.01013,NR,NR,NR,NR
Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,NR,0.00318,NR,NR,NR,NR,NR,NR
Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,0.06434,0.04638,0.02886,0.03110,0.06645,0.08942,0.04581,0.02668
Bacteria,Acidobacteriota,Terriglobia,Terriglobales,0.07035,0.06491,0.02978,0.04140,0.06815,NR,0.05404,0.03811
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,NR,0.25532,NR,0.25761,0.22851,NR,0.21395,0.16806
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,NR,0.42872,NR,NR,NR,NR,NR,NR
Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,NR,0.02581,NR,NR,NR,NR,NR,NR
Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,NR,0.01097,NR,NR,0.00699,NR,NR,0.00551
Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,NR,0.00774,NR,NR,NR,NR,NR,NR
Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,NR,0.01222,NR,NR,NR,NR,NR,NR
Bacteria,Actinomycetota,Unclassified,Unclassified,NR,0.00325,NR,NR,NR,NR,NR,0.00154
Bacteria,Bacillota,Bacilli,Bacillales,NR,0.29395,NR,0.16304,0.39869,NR,0.31126,0.18994
Bacteria,Bacillota,Bacilli,Staphylococcales,NR,0.02828,NR,0.01514,NR,NR,NR,NR
Bacteria,Bacillota_A,Clostridia,Tissierellales,NR,0.01337,NR,0.00658,NR,NR,NR,NR
Bacteria,Bacillota_F,Halanaerobiia,Halanaerobiales,0.04166,0.03012,0.01571,0.01260,0.05124,0.05393,0.04682,0.01188
Bacteria,Bacillota_F,Halanaerobiia,Halobacteroidales,NR,0.00917,NR,0.00397,NR,NR,NR,NR
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NR,0.02788,NR,0.01396,NR,NR,NR,NR
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NR,NR,NR,0.07789,NR,NR,NR,NR
Bacteria,Bacteroidota,Bacteroidia,Cytophagales_A,NR,NR,NR,0.00150,NR,NR,NR,NR
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B,NR,NR,NR,0.00035,NR,NR,NR,NR
Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,NR,NR,NR,NR,NR,NR,0.00699,NR
Bacteria,Deinococcota,Deinococci,Deinococcales,0.13266,0.11515,0.08989,0.09834,0.11379,NR,0.09083,0.07122
Bacteria,Elusimicrobiota,Unclassified,Unclassified,NR,NR,NR,0.00059,NR,NR,NR,NR
Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,0.00002,NR,NR,NR,NR,0.00005,0.00003,NR
Bacteria,Poribacteria,Unclassified,Unclassified,NR,NR,NR,NR,NR,NR,0.00138,NR
Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,0.20857,0.18853,NR,0.21936,0.19075,0.29816,0.24012,NR
Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,0.53066,1.09842,0.96814,1.34800,0.46151,2.10655,0.26113,0.24241
Bacteria,Pseudomonadota,Alphaproteobacteria,Parvibaculales,NR,0.21009,NR,NR,0.16015,NR,NR,NR
Bacteria,Pseudomonadota,Alphaproteobacteria,Parvularculales,NR,0.04250,NR,NR,0.02922,NR,NR,NR
Bacteria,Pseudomonadota,Alphaproteobacteria,Reyranellales,NR,0.01377,NR,0.00816,NR,NR,NR,NR
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,2.55138,2.32447,NR,2.97454,2.07238,NR,NR,NR
Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,0.51455,0.49919,0.38151,0.76220,0.31761,0.60781,0.24024,0.28843
Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,NR,5.40308,NR,5.01171,5.79677,NR,NR,NR
Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,NR,0.20739,0.12958,0.21957,0.21525,0.13805,NR,NR
Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,NR,0.37709,NR,0.34177,0.30557,0.35066,NR,NR
Bacteria,Unclassified,Unclassified,Unclassified,NR,NR,NR,NR,NR,NR,0.00333,NR
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,NR,0.04694,NR,0.02728,NR,NR,NR,NR
Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,NR,NR,NR,0.00080,NR,NR,NR,NR
