Domain,Phylum,Class,Order,P1_FW,P1_IF,P1_CO,P2_IF,T_FW,T_IF,Pro_PW,Com_PW,
Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,0.09481,0.02442,0.08718,0.05013,? 0.1%,0.02138,? 0.1%,0.08756,
Archaea,Halobacteriota,Halobacteria,Halobacteriales,0.03832,0.03269,0.02021,0.02952,0.04043,0.05744,0.03324,0.02809,
Archaea,Halobacteriota,Methanocellia,Methanocellales,0.00527,0.00292,0.00286,0.00155,0.01020,0.00516,0.01255,0.00460,
Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,0.06540,0.00000,0.02893,0.00000,0.09794,0.05205,? 0.1%,0.03757,
Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,0.01497,0.00000,0.00624,0.00000,0.02349,0.00742,0.03148,0.01137,
Archaea,Halobacteriota,Unclassified,Unclassified,0.02623,0.01253,0.00709,0.00583,0.02635,0.01315,0.03687,0.01626,
Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,0.02228,0.00000,0.01062,0.00000,0.04507,0.01782,0.04307,0.01697,
Archaea,Methanobacteriota,Methanopyri,Methanopyrales,0.00260,0.00000,0.00132,0.00000,0.00656,0.00334,0.00620,0.00193,
Archaea,Methanobacteriota_A,Methanococci,Methanococcales,0.06702,0.00000,0.03324,0.00000,> 0.1%,0.04342,0.09846,0.03194,
Archaea,Methanobacteriota_B,Thermococci,Thermococcales,0.06393,0.03049,0.02566,0.01701,? 0.1%,0.04552,0.05614,0.02858,
Archaea,Nanoarchaeota,Nanoarchaeia,Nanoarchaeales,0.00104,0.00023,0.00044,0.00013,0.00265,0.00057,0.00106,0.00017,
Archaea,Thermoplasmatota,Thermoplasmata,Aciduliprofundales,0.00460,0.00225,0.00199,0.00139,0.00803,0.00666,0.00530,0.00175,
Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,0.00527,0.00000,0.00246,0.00272,0.00730,0.00629,0.00569,0.00268,
Archaea,Thermoproteota,Korarchaeia,Korarchaeales,0.00179,0.00115,0.00132,0.00076,0.00401,0.00249,0.00200,0.00092,
Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,0.00354,0.00310,0.00185,0.00177,0.00427,0.00555,0.00223,0.00287,
Archaea,Thermoproteota,Thermoprotei,Thermofilales,0.00508,0.00282,0.00118,0.00197,0.00338,0.00282,0.00277,0.00109,
Archaea,Thermoproteota,Thermoprotei,Thermoproteales,0.00817,0.00530,0.00395,0.00397,0.00892,0.00820,0.00539,0.00558,
Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,0.01638,0.01025,0.00762,0.00779,0.02181,0.01917,0.01753,0.00988,
Bacteria,Acidobacteriota,Terriglobia,Terriglobales,0.00000,0.00000,0.00000,0.00000,0.00000,0.13453,0.00000,0.00000,
Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,0.00340,0.00261,0.00115,0.00167,0.00393,0.00556,0.00342,0.00336,
Bacteria,Actinomycetota,Actinomycetes,Acidothermales,0.00828,0.01125,0.00589,0.00711,0.01008,0.01919,0.00896,0.00860,
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,0.30039,0.00000,0.18645,0.00000,0.00000,0.51966,0.00000,0.00000,
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,0.46618,0.00000,0.33148,0.51574,0.38021,0.67220,0.26892,0.24666,
Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,0.03086,0.00000,0.01831,0.03042,0.02661,0.05598,0.01860,0.02735,
Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,0.01181,0.00000,0.00538,0.01132,0.00000,0.01548,0.00863,0.00000,
Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,0.00635,0.00000,0.00498,0.00773,0.00683,0.01807,0.00583,0.00715,
Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,0.02753,0.02393,0.01016,0.01237,0.03030,0.03507,0.03052,0.01080,
