Physiological Pathway,Functional Ortholog,Symbol,EC,Module,KO,Reaction,# MAGs,Unassembled reads,,,,,
(A) Energy metabolism,,,,,,,,,,,,,
Oxygen reduction (cco) ,Cytochrome c oxidase cbb3-type subunit I ,ccoN ,7.1.1.9,M00156,K00404,R00081,49,Y,,,,,
,Cytochrome c oxidase cbb3-type subunit II,ccoO,NA,,K00405,,48,ND,,,,,
,Cytochrome c oxidase cbb3-type subunit I/II,ccoNO,7.1.1.9,,K15862,,50,ND,,,,,
,Cytochrome c oxidase cbb3-type subunit III,ccoP,NA,,K00406,,49,ND,,,,,
,Cytochrome c oxidase cbb3-type subunit IV,ccoQ,NA,,K00407,,30,ND,,,,,
Oxygen reduction (cox),Cytochrome c oxidase subunit I,"coxA, ctaD",7.1.1.9,M00155,K02774,R00081,48,Y,,,,,
,Cytochrome c oxidase subunit II,"coxB, ctaC",7.1.1.9 ,,K02775,,50,ND,,,,,
,Cytochrome c oxidase subunit III,"coxC, ctaE",7.1.1.9,,K02276,,46,ND,,,,,
,Cytochrome c oxidase subunit I+III,coxAC,7.1.1.9,,K15408,,2,ND,,,,,
Oxygen reduction (COX1),Heme o synthase,"COX10, ctaB, cyoE",2.5.1.141,M00154,K02257,R00081,48,Y,,,,,
,Cytochrome c oxidase subunit 1,COX1,7.1.1.9,,K02256,,ND,ND,,,,,
,Cytochrome c oxidase subunit 2 ,COX2,NA,,K02261,,ND,ND,,,,,
,Cytochrome c oxidase subunit 3,COX3,NA,,K02262,,ND,ND,,,,,
,Cytochrome c oxidase subunit 4,COX4,NA,,K02263,,ND,ND,,,,,
,Cytochrome c oxidase subunit 5a,COX5A,NA,,K02264,,ND,ND,,,,,
,Cytochrome c oxidase subunit 5b,COX5B,NA,,K02265,,ND,ND,,,,,
,Cytochrome c oxidase subunit 6a,COX6A,NA,,K02266,,ND,ND,,,,,
,Cytochrome c oxidase subunit 6b,COX6B,NA,,K02267,,ND,ND,,,,,
,Cytochrome c oxidase subunit 6c ,COX6C,NA,,K02268,,ND,ND,,,,,
,Cytochrome c oxidase subunit 7a ,COX7A,NA,,K02270,,ND,ND,,,,,
,Cytochrome c oxidase subunit 7c,COX7C,NA,,K02272,,ND,ND,,,,,
,Cytochrome c oxidase assembly protein subunit 11,"COX11, ctaG",NA,,K02258,,28,Y,,,,,
,Heme a synthase,"COX15, ctaA",NA,,K02259,,41,ND,,,,,
,Cytochrome c oxidase assembly protein subunit 17,COX17,NA,,K02260,,0,ND,,,,,
Nitrogen metabolism,,,,,,,,,,,,,
Denitrification ,,,,,,,,,,,,,
Assimilatory nitrate reduction to nitrite,Assimilatory nitrate reductase catalytic subunit,"nasC, nasA",1.7.99.-,M00531,K00372,R00798,17,Y,,,,,
,Nitrate reductase (NAD(P)H)),NR,1.7.1.1-3,,K10534,"R00794, R00796",0,Y,,,,,
,Ferredoxin-nitrate reductase,narB,1.7.7.2,,K00367,R00791,13,Y,,,,,
Assimilatory nitrite reduction to ammonia,Ferredoxin-nitrite reductase,nirA ,1.7.7.1,M00531,K00366,R00790,43,Y,,,,,
,Nitrite reductase (NAD(P)H),NIT-6,1.7.1.4,,K17877,"R00787, R00789",0,ND,,,,,
,Nitrite reductase [NAD(P)H] large subunit,"nasD, nasB",,,K26139,,0,ND,,,,,
,Nitrite reductase [NAD(P)H] small subunit,nasE,,,K26138,,0,ND,,,,,
,Nitrite reductase [NAD(P)H],nasB,,,K00361,,0,ND,,,,,
Dissimilatory nitrate reduction to nitrite,Nitrate reductase alpha subunit ,"narG, narZ",1.7.5.1,"M00529,
M00530",K00370,R00798,14,Y,,,,,
,Nitrate reductase beta subunit,"narH, narY",,,K00371,,14,Y,,,,,
,Nitrate reductase gamma subunit,"narI, narV",,,K00374,,14,Y,,,,,
,Nitrate reductase (cytochrome),napA ,1.9.6.1,,K02567,R03071,7,Y,,,,,
,"Nitrate reductase (cytochrome), electron transfer subunit",napB,NA,,K02568,,6,Y,,,,,
Dissimilatory nitrite reduction to ammonia,Nitrite reductase (cytochrome c-552),nrfA,1.7.2.2,M00530,K03385,R05712,9,Y,,,,,
,Cytochrome c nitrite reductase small subunit ,nrfH,NA,,K15876,,11,ND,,,,,
,Nitrite reductase (NADH) large subunit,nirB,1.7.1.15,,K00362,R00787,43,Y,,,,,
,Nitrite reductase (NADH) small subunit,nirD,,,K00363,,17,Y,,,,,
Dissimilatory nitrite reduction to NO,Nitrite reductase (NO-forming),nirK ,1.7.2.1,M00529,K00368,"R00783, R00785",24,Y*,,,,,
,Nitrite reductase (NO-forming),nirS,1.7.2.1,M00529,K15864,"R00783, R00785",10,,,,,,
Dissimilatory NO reduction to N2O ,Nitric oxide reductase subunit B,norB,1.7.2.5,M00529,K04561,R00294,20,Y,,,,,
,Nitric oxide reductase subunit C,norC,NA,M00529,K02305,,16,Y,,,,,
Dissimilatory NO reduction to N2,Nitric oxide dismutase ,nod,NA,map00910,K27148,R09996,0,ND,,,,,
Dissimilatory N2O reduction to N2,Nitrous oxide reductase ,nosZ,1.7.2.4,M00529,K00376,R02804,12,Y,,,,,
Nitrogen fixation,Nitrogenase iron protein ,nifH ,1.18.6.1,M00175,K02588,R05185,18,Y,,,,,
,Nitrogenase molybdenum-iron protein alpha chain,nifD,,,K02586,,18,Y,,,,,
,Nitrogenase molybdenum-iron protein beta chain,nifK,,,K02591,,19,Y,,,,,
,Vanadium-dependent nitrogenase alpha chain,vnfD,,,K22896                      ,,0,NA,,,,,
,Vanadium-dependent nitrogenase beta chain,vnfK,,,K22897                      ,,0,NA,,,,,
,Vanadium nitrogenase delta subunit,vnfG,,,K22898,,0,NA,,,,,
,Vanadium nitrogenase iron protein,vnfH,,,K22899,,0,NA,,,,,
Anammox ,Hydrazine synthase subunits,hzs,1.7.2.7,M00973,K20932–4,R09799,0,ND,,,,,
,Hydrazine dehydrogenase ,hdh,1.7.2.8,,K20935,R07174,0,ND,,,,,
Nitrification,,,,,,,,,,,,,
Ammonia oxidation to hydroxylamine ,Ammonia monooxygenase subunit ABC,amoABC,1.14.99.39,M00528,K10944–6,R00148,0,ND,,,,,
Hydroxylamine oxidation to nitrite ,Hydroxylamine dehydrogenase ,hao,1.7.2.6,M00528,K10535,R10164,0,Y,,,,,
Nitrite oxidation to nitrate ,Nitrite oxidoreductase alpha subunit,nxrA,1.7.99.-,map00910,K00370,R00798,14,Y,,,,,
,Nitrite oxidoreductase beta subunit,nxrB,1.7.99.-,,K00371,,14,Y,,,,,
Sulfur metabolism,,,,,,,,,,,,,
Assimilatory sulfate reduction to sulfite,Bifunctional enzyme CysN/CysC,cysNC,2.7.7.4,M00176,K00955,R00529,27,Y,,,,,
,Sulfate adenylyltransferase subunit 1,cysN,2.7.7.4,,K00956,,39,Y,,,,,
,Sulfate adenylyltransferase subunit 2 ,cysD,2.7.7.4,,K00957,,37,Y,,,,,
,Sulfate adenylyltransferase,"sat, met3",2.7.7.4,,K00958,,27,Y,,,,,
,Adenylylsulfate kinase,cysC,2.7.1.25,,K00860,R00509,50,Y,,,,,
,Phosphoadenosine phosphosulfate reductase,cysH,1.8.4.8,,K00390,R02021,54,Y,,,,,
Assimilatory sulfite reduction to sulfide,Sulfite reductase (NADPH) flavoprotein alpha component,cysJ,1.8.1.2,M00176,K00380,R00858,37,Y,,,,,
,Sulfite reductase (NADPH) hemoprotein beta component,cysI,1.8.1.2,,K00381,,35,Y,,,,,
,Sulfite reductase (ferredoxin) ,sir,1.8.7.1,,K00392,R00859,36,Y,,,,,
,Anaerobic sulfite reductase subunit A,asrA,NA,map00920,K16950,"R00858, R10146",9,ND,,,,,
,Anaerobic sulfite reductase subunit B,asrB,,,K16951,,2,ND,,,,,
,Anaerobic sulfite reductase subunit C,asrC,,,K00385,,1,ND,,,,,
Dissimilatory sulfate reduction to sulfite,Sulfate adenylyltransferase,"sat, met3",2.7.7.4,M00596,K00958,R00529,27,Y,,,,,
,Adenylylsulfate reductase subunit A  ,aprA ,1.8.99.2,,K00394,R08553,3,Y,,,,,
,Adenylylsulfate reductase subunit B,aprB,,,K00395,,3,Y,,,,,
Dissimilatory sulfite reduction to sulfide,Dissimilatory sulfite reductase alpha subunit,dsrA,1.8.1.22,M00596,K11180,R00861,6,Y,,,,,
,Dissimilatory sulfite reductase beta subunit,dsrB,,,K11181,,6,Y,,,,,
,[DsrC]-trisulfide reductase subunit M,dsrM,1.8.5.10,M00596,K27187,R13227,0,ND,,,,,
,[DsrC]-trisulfide reductase subunit K,dsrK,,,K27188,,0,ND,,,,,
,[DsrC]-trisulfide reductase subunit J,dsrJ,NA,,K27189,,0,ND,,,,,
,[DsrC]-trisulfide reductase subunit O,dsrO,,,K27190,,0,ND,,,,,
,[DsrC]-trisulfide reductase subunit P,dsrP,,,K27191,,0,ND,,,,,
Sulfur reduction to sulfide,Sulfur reductase molybdopterin subunit,sreA,NA,M00986,K17219,R03533,0,ND,,,,,
,Sulfur reductase FeS subunit,sreB,,,K17220,,0,ND,,,,,
,Sulfur reductase membrane anchor,sreC,,,K17221,,0,ND,,,,,
,CoA-dependent NAD(P)H sulfur oxidoreductase,CoADR,1.8.1.18,M00986,K18367,R10438,1,ND,,,,,
Sulfur disproportionation to sulfite and sulfide,Sulfur oxygenase/reductase,sor,1.13.11.55,map00920,K16952,R07365,0,ND,,,,,
Thiosulfate disproportionation to sulfite and sulfide,Thiosulfate reductase / polysulfide reductase chain A ,phsA,1.8.5.5,map00920,K08352,R10149,12,ND,,,,,
,Thiosulfate reductase electron transport protein,phsB,NA,,K08353,,3,ND,,,,,
,Thiosulfate reductase cytochrome b subunit,phsC,NA,,K08354,,5,ND,,,,,
Thiosulfate disproportionation to sulfate and sulfur ,Thiosulfate dehydrogenase (quinone) small subunit,doxA,1.8.5.2,M00984,K16936,R07177,2,ND,,,,,
,Thiosulfate dehydrogenase (quinone) large subunit,doxD,1.8.5.2,,K16937,,3,ND,,,,,
,Thiosulfate dehydrogenase (quinone),doxDA,1.8.5.2,,K05908,,0,ND,,,,,
,Thiosulfate dehydrogenase,tsdA,1.8.2.2,,K19713,R00029,25,ND,,,,,
,Tetrathionate hydrolase,tetH,3.12.1.-,,K27925,R13400,0,ND,,,,,
Sulfide oxidation to sulfur,Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain,fccB,1.8.2.3,M00985,K17229,R09499,5,ND,,,,,
,cytochrome subunit of sulfide dehydrogenase,fccA,NA,,K17230,,2,ND,,,,,
Thiosulfate oxidation to sulfate ,L-cysteine S-thiosulfotransferase,soxA,2.8.5.2,M00595,K17222,R10151,17,ND,,,,,
,L-cysteine S-thiosulfotransferase,soxX,2.8.5.2,,K17223,,20,ND,,,,,
,S-sulfosulfanyl-L-cysteine sulfohydrolase,soxB,3.1.6.20,,K17224,,14,ND,,,,,
,Sulfur-oxidizing protein SoxY,soxY,NA,,K17226,,18,ND,,,,,
,Sulfur-oxidizing protein SoxZ,soxZ,NA,,K17227,,18,ND,,,,,
Methanogenesis,,,,,,,,,,,,,
Methyl-coenzyme M reductase pathway,Methyl-coenzyme M reductase alpha subunit,mcrA,2.8.4.1,"M00356,
M00357,
M00563,
M00567",K00399,R04541,2,Y,,,,,
,Methyl-coenzyme M reductase beta subunit,mcrB,,,K00401,,2,Y,,,,,
,Methyl-coenzyme M reductase gamma subunit,mcrC,,,K00402,,2,Y,,,,,
,Heterodisulfide reductase subunit A1,hdrA1,1.8.7.3,,K22480,R11931,0,NA,,,,,
,Heterodisulfide reductase subunit B1,hdrB1,,,K22481,,0,NA,,,,,
,Heterodisulfide reductase subunit C1,hdrC1,,,K22482,,1,NA,,,,,
,Heterodisulfide reductase subunit A2,hdrA2,1.8.98.4,,K03388,R11928,17,NA,,,,,
,Heterodisulfide reductase subunit B2,hdrB2,,,K03389,,7,NA,,,,,
,Heterodisulfide reductase subunit C2,hdrC2,,,K03390,,7,NA,,,,,
,Heterodisulfide reductase subunit D,hdrD,1.8.98.1,,K08264,R04540,4,NA,,,,,
,Heterodisulfide reductase subunit E,hdrE,,,K08265,,2,NA,,,,,
,F420-non-reducing hydrogenase iron-sulfur subunit,"mvhD, vhuD, vhcD","1.12.99.-, 1.8.98.5, 1.8.98.6",,K14127,"R00019, R11943, R11944",4,NA,,,,,
