Pathway,KO configuration,,,,,,,,,,,,,,,,
Aerobic metabolism,,,,,,,,,,,,,,,,,
Oxygen reduction (cco),"((K00404+K00405),K15862)+K00407+K00406",,,,,,,,,,,,,,,,
Oxygen reduction (coxA),"K02275+((K02274+K02276),K15408)",,,,,,,,,,,,,,,,
Oxygen reduction (COX1),"K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+
K02268+K02270+K02272+K02258+K02259+K02260",,,,,,,,,,,,,,,,
Nitrogen metabolism,,,,,,,,,,,,,,,,,
"Assimilatory nitrate reduction to 
nitrite","K00367,K10534,K00372",,,,,,,,,,,,,,,,
"Assimilatory nitrate reduction to 
ammonia","(K00366,K17877,K26139)+(K26138,K00361)",,,,,,,,,,,,,,,,
"Dissimilatory nitrate reduction to 
nitrite","(K00370+K00371+K00374),(K02567+K02568)",,,,,,,,,,,,,,,,
"Dissimilatory nitrite reduction to 
ammonia","(K00362+K00363),(K03385+K15876)",,,,,,,,,,,,,,,,
"Dissimilatory nitrite reduction 
to NO","K00368,K15864",,,,,,,,,,,,,,,,
Dissimilatory NO reduction to N2O ,K04561+K02305,,,,,,,,,,,,,,,,
Nitrogen fixation,"(K02588+K02586+K02591),(K22896+K22897+K22898+K22899)",,,,,,,,,,,,,,,,
Anammox,(K20932+K20933+K20934)?K20935,,,,,,,,,,,,,,,,
Nitrite oxidation to nitrate,K00370+K00371,,,,,,,,,,,,,,,,
Sulfur metabolism,,,,,,,,,,,,,,,,,
"Assimilatory sulfate reduction 
to sulfite","((K00958+K00860),(K00955+K00957),(K00956+K00957+K00860))?K00390",,,,,,,,,,,,,,,,
"Assimilatory sulfate reduction 
to sulfide","(K00380+K00381),K00392,(K16950+K16951+K00385)",,,,,,,,,,,,,,,,
"Dissimilatory sulfate reduction 
to sulfite",K00958?(K00394+K00395),,,,,,,,,,,,,,,,
"Dissimilatory sulfite reduction 
to sulfide",(K11180+K11181)?(K27187+K27188+K27189+K27190+K27191),,,,,,,,,,,,,,,,
Sulfur reduction to sulfide,"K18367,(K17219+K17220+K17221)",,,,,,,,,,,,,,,,
"Thiosulfate disproportionation 
to sulfite and sulfide",K08352+K08353+K08354,,,,,,,,,,,,,,,,
"Thiosulfate disproportionation 
to sulfate and sulfur ","((K16937+K16936),K05908,K19713))?K27925",,,,,,,,,,,,,,,,
Sulfide oxidation to sulfur,K17229+K17230,,,,,,,,,,,,,,,,
Thiosulfate oxidation to sulfate,K17222+K17223+K17224+K17226+K17227,,,,,,,,,,,,,,,,
Methanogenesis,,,,,,,,,,,,,,,,,
Methyl-CoM reductase ,"(K00399+K00401+K00402)?((K22480+K22481+K22482),(K03388+K03389+K03390),
(K08264+K08265),
(K03388+K03389+K03390+K14127+((K14126+K14128),(K22516+K00125)))",,,,,,,,,,,,,,,,
CO2 reduction,"K00200+K00201+K00202+K00203+(K00205,K11260,K00204))
?K00672?K01499?(K00319,K13942)?K00320?
(K00577+K00578+K00579+K00580+K00581+K00584)",,,,,,,,,,,,,,,,
Acetotrophy,"((K00925?K00625),K01895)?(K00193+K00197+K00194)?
(K00577+K00578+K00579+K00580+K00581+K00584)",,,,,,,,,,,,,,,,
Methanol methylotrophy,K14080+K04480+K14081,,,,,,,,,,,,,,,,
MMA methylotrophy,K14082?K16177,,,,,,,,,,,,,,,,
DMA methylotrophy,K14082?K16179,,,,,,,,,,,,,,,,
TMA methylotrophy,K14082?K14084,,,,,,,,,,,,,,,,
Fermentation,,,,,,,,,,,,,,,,,
"Formaldehyde fermentation 
from methanol","(K14028+K14029),K23995,K17066,K00093",,,,,,,,,,,,,,,,
"Formaldehyde fermentation 
from MMA","((K22081+K22082+K22083)?(K22084+K22085+K22086+K22087)),
(K08685+K15228+K15229)",,,,,,,,,,,,,,,,
"Formate fermentation from 
formaldehyde","K00148,(K03396?K00121?K01070),K17067",,,,,,,,,,,,,,,,
"Ethanol fermentation from 
acetaldehyde (?)","K00001,K13951,K13953,K13954,K00121,K04072,K04022,K00002,K12957,
K13979,(K14028+K14029),K00114",,,,,,,,,,,,,,,,
"Acetaldehyde fermentation 
from acetyl-CoA (?)","K00132,K04072,K04073",,,,,,,,,,,,,,,,
"Acetogenesis from 
acetaldehyde (?)","K00128,K14085,K00149,K00138,K00129",,,,,,,,,,,,,,,,
Acetogenesis from acetyl-CoA (?),"((K00625,K13788,K15024)?(K00925,K01512)),K01067,(K01905+K22224),
K24012,K01026,K18118,K01895,K01913",,,,,,,,,,,,,,,,
Acetogenesis from pyruvate (?),"K00156,(K00158?(K00925,K01512))",,,,,,,,,,,,,,,,
Formate oxidation to CO2 and H2,"K00122,(K00123+K00124+K00126+K00127+K22515),(K00125+K22516)",,,,,,,,,,,,,,,,
H2 production,"(K00533+K00534),(K14126+K14127+K14128),(K00437+K18008)",,,,,,,,,,,,,,,,
CO2 fixation,,,,,,,,,,,,,,,,,
"Reductive acetyl-CoA 
(Wood-Ljungdahl) pathway","K00198?K05299,(K22015+K25123+K25124)?K01938?K01491?K00297?
K15023?(K14138+K00197+K00194)",,,,,,,,,,,,,,,,
Pta-AckA pathway,"(K00625,K13788,K15024)?K00925",,,,,,,,,,,,,,,,
"Reductive citrate 
(Arnon-Buchanan) cycle","((K00169+K00170+K00171+K00172),K03737)?
(((K01007,K01006)?K01595),(K01959+K01960),K01958)?K00024?
(K01676,K01679,(K01677+K01678))?
((K00239+K00240),(K18556+K18557+K18558+K18559+K18560))?
(K01902+K01903)?(K00174+K00175)?K00031?(K01681,K27802,K01682)?
((K15230+K15231),((K15232+K15233)?K15234))",,,,,,,,,,,,,,,,
"Reductive pentose phosphate 
(Calvin) cycle ","K00855?K01601?K00927?(K05298,K00150,K00134)?K01803?
(K01623,K01624)?(K03841,K02446,K11532,K01086)?K00615?
(K01100,K11532,K01086)?(K01807,K01808)?K01783",,,,,,,,,,,,,,,,
"Hydroxypropionate-hydroxybutylate 
cycle","(K01964+K15037+K15036)?K15017?K15039?K15018?K15019?K15020?
K05606?(K01848+K01849)?(K15038,K15017)?K14465?
(K14466,K18861,K25774)?K14534?K15016?K00626",,,,,,,,,,,,,,,,
Dicarboxylate-hydroxybutyrate cycle,"(K00169+K00170+K00171+K00172)?K01007?K01595?K00024?
(K01677+K01678)?(K00239+K00240)?(K01902+K01903)?(K15038,K15017)?
K14465?(K14467,K18861,K25774)?K14534?K15016?K00626",,,,,,,,,,,,,,,,
Incomplete reductive citrate cycle,"(K00169+K00170+K00171+K00172)?(K01959+K01960)?K00024?
(K01677+K01678)?(K18209+K18210)?(K01902+K01903)?
(K00174+K00175+K00176+K00177)",,,,,,,,,,,,,,,,
Central carbohydrate metabolism,,,,,,,,,,,,,,,,,
Glycolysis,"K01803?(((K00134,K00150)?K00927),K11389)?
(K01834,K15633,K15634,K15635)?(K01689,K27394)?(K00873,K12406)",,,,,,,,,,,,,,,,
Gluconeogenesis,"(K01596,K01610)?(K01689,K27394)?(K01834,K15633,K15634,K15635)?
K00927?(K00134,K00150)?K01803?
(((K01623,K01624,K11645)?(K03841,K02446,K11532,K01086,K04041)),K01622)",,,,,,,,,,,,,,,,
Pyruvate oxidation,"((K00163,K00161+K00162)+K00627+K00382),
(K00169+K00170+K00171+(K00172,K00189)),
K03737",,,,,,,,,,,,,,,,
Citric acid (TCA/Krebs) cycle,"(K01647,K05942,K01659)?(K01681,K27802,K01682)?(K00031,K00030)?
(((K00164+K00658),K01616)+K00382),(K00174+K00175))?
((K01902+K01903),(K01899+K01900),K18118)?
(((K00234+K00235+K00236+(K00237,K25801)),(K00239+K00240+K00241),
(K00244+K00245+K00246))?(K01676,K01679,(K01677+K01678))? (K00026,K00025,K00024,K00116)",,,,,,,,,,,,,,,,
Pentose phosphate cycle,"(K13937,((K00036,K19243)?(K01057,K07404)))?K00033?K01783?
(K01807,K01808)?K00615?((K00616?(K01810,K06859,K15916)),K13810)",,,,,,,,,,,,,,,,
"Pentose phosphate cycle, archaea","((K08094?(K08093,K13812)),K13831)?K01807",,,,,,,,,,,,,,,,
Entner-Doudoroff pathway,"K00036?(K01057,K07404)?K01690?K01625",,,,,,,,,,,,,,,,
