MAG,Completeness,Contamination,GTDB Taxonomy,NCBI Taxonomy
MAG01,98.06,1.29,d__Bacteria; p__Desulfuromonadota; c__Desulfuromonadia; o__Desulfuromonadales; f__Geoalkalibacteraceae; g__Geoalkalibacter_A; s__,d__Bacteria; p__Thermodesulfobacteriota; c__Desulfuromonadia; o__Desulfuromonadales; g__Geoalkalibacteraceae; g__Geoalkalibacter
MAG02,99.75,2.55,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales_A; f__Thalassospiraceae; g__Thalassospira; s__,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassospiraceae; g__Thalassospira
MAG03,93.71,0.36,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Roseovarius; s__,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius
MAG04,96.75,0.38,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Psychroflexus; s__,
MAG05,69.55,7.77,d__Bacteria; p__Eremiobacterota; c__UBP9; o__UBA4705; f__; g__; s__,
MAG06,97.93,1.28,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__; s__,d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae
MAG07,97.24,0.43,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Nitrincolaceae; g__Marinobacterium; s__,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Marinobacterium; s__
MAG08,94.00,2.17,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA6147; s__,
MAG09,100.00,0.00,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax borkumensis,d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae; g__Alcanivorax; s__Alcanivorax borkumensis
MAG10,99.41,1.18,d__Bacteria; p__Desulfobacterota_A; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Pseudodesulfovibrio; s__,d__Bacteria; p__Thermodesulfobacteriota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Pseudodesulfovibrio 
MAG11,73.48,2.81,d__Bacteria; p__Patescibacteria; c__Paceibacteria_A; o__; f__; g__; s__,
MAG12,92.19,2.20,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__1G12; g__UBA6049; s__,
MAG13,99.67,2.79,d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanolobus; s__Methanolobus tindarius,
MAG14,87.31,4.29,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudodonghicola; s__,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Pseudodonghicola
MAG15,77.81,1.92,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA12481; g__; s__,
MAG16,60.62,1.34,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__F082; g__UBA5536; s__,
MAG17,93.86,0.78,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Roseovarius; s__Roseovarius sp002428225,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__Roseovarius sp002428225
MAG18,85.22,1.29,d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfotignum; s__Desulfotignum balticum,d__Bacteria; p__Thermodesulfobacteriota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfotignum; s__Desulfotignum balticum
MAG19,91.88,4.70,d__Bacteria; p__Cyanobacteria; c__Sericytochromatia; o__UBA7694; f__; g__; s__,
MAG20,89.08,0.00,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA1280; f__; g__; s__,
MAG21,99.57,1.36,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Oleiphilaceae; g__Marinobacter; s__,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marinobacter; s__
MAG22,98.33,0.67,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thioclava; s__,"d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae, g__Thioclava"
MAG23,97.69,1.32,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Salipiger; s__,"d__Bacteria, p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Salipiger"
MAG24,99.14,1.29,d__Bacteria; p__Deferribacterota; c__Deferribacteres; o__Deferribacterales; f__Denitrovibrionaceae; g__Denitrovibrio; s__,
MAG25,97.33,1.33,d__Bacteria; p__Riflebacteria; c__UBA8953; o__UBA8953; f__UBA8953; g__; s__,
MAG26,97.35,1.96,d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanolobus; s__,
MAG27,97.07,1.29,d__Bacteria; p__Desulfuromonadota; c__Desulfuromonadia; o__Desulfuromonadales; f__Pelobacteraceae_A; g__Pelobacter_A; s__,d__Bacteria; p__Thermodesulfobacteriota; c__Desulfuromonadia; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Pelobacter
MAG28,99.57,0.32,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudodonghicola; s__,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Pseudodonghicola
MAG29,97.01,1.16,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,"d__Bacteria, p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae "
MAG30,99.60,3.62,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__Sphingobium ummariense,
MAG31,95.62,0.14,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Nitrincolaceae; g__Marinobacterium; s__,
MAG32,92.00,2.89,d__Bacteria; p__Wallbacteria; c__UBA9980; o__; f__; g__; s__,
MAG33,99.02,3.73,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Oleiphilaceae; g__Marinobacter; s__,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marinobacter; s__
MAG34,98.91,0.25,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae; g__GCA-2684405; s__,
MAG35,57.15,1.58,"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; 
s__",
MAG36,99.77,1.22,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Sedimenticolaceae; g__Sedimenticola; s__,
MAG37,99.67,0.50,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Mesoflavibacter; s__,
MAG38,98.48,0.21,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thioclava; s__Thioclava marina,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thioclava; s__Thioclava marina
MAG39,98.67,2.26,d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfobacter; s__,d__Bacteria; p__Thermodesulfobacteriota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfobacter
MAG40,100.00,0.34,d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Halarcobacter; s__Halarcobacter anaerophilus,d__Bacteria; p__Campylobacterota; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Halarcobacter; s__Halarcobacter anaerophilus
